Satellite Name,ADM,ORG,Long_nom,Date of bringing into use,Status,Expiry Date for Bringing Into Use,Provision,
AMOS 2-B,ISR,,-4,01.08.2008,C,,11.2,
AMOS 3-A,ISR,,-4,01.06.2008,C,,11.2,
AMOS 3-A,ISR,,-4,01.06.2011,C,,11.2,
AMOS-II 4W,ISR,,-4,01.10.2003,C,,A30B#8.1,
AMS-30B-4W,ISR,,-4,20.02.2017,C,,A30B#8.1,
AMS-30B-65E,ISR,,65,06.04.2016,C,,A30B#8.1,
AMS-4-65E,ISR,,65,23.12.2013,C,,11.2,
AM-SAT 125W,G,,-125,28.09.2008,C,,11.2,
AM-SAT A4,G,,108.2,01.12.2002,C,,11.2,
AM-SAT-108.2E-G,G,,108.2,01.01.2013,C,,11.2,
AM-SAT-108.2E-G,G,,108.2,04.01.2013,C,,11.2,
AMS-B2-13.8E,ISR,,13.8,14.02.2019,C,,11.2,
AMS-B7-13.8E,ISR,,13.8,14.02.2019,C,,11.2,
AMS-B7-13.8E,ISR,,13.8,15.08.2019,C,,11.2,
AMS-BSS-B1-4W,ISR,,-4,20.02.2017,C,,5.1.2,
AMS-C8-113E,ISR,,113,25.11.2023,N,26.05.2022,11.2,
AMS-C8-113E,ISR,,113,25.11.2023,N,26.11.2023,11.2,
AMS-C8-17E,ISR,,17,17.11.2019,C,,11.2,
AMS-C8-17E,ISR,,17,25.01.2022,N,26.05.2022,11.2,
AMS-CK-17E,ISR,,17,17.11.2019,C,,11.2,
AMS-CK-4W,ISR,,-4,20.06.2008,C,,11.2,
AMS-CK-4W,ISR,,-4,01.03.2017,C,,11.2,
ANGELS-F,F,,N-GSO,01.10.2019,C,,11.2,
ANIK E-A,CAN,,-107.3,19.04.1993,C,,11.2,
ANIK E-B,CAN,,-111.1,19.04.1993,C,,11.2,
ANIK E-D,CAN,,-118.7,16.05.2000,C,,11.2,
ANIK-F1,CAN,,-107.3,15.02.2000,C,,11.2,
ANIK-F1,CAN,,-107.3,21.11.2000,C,,11.2,
ANIK-F1,CAN,,-107.3,15.10.2005,C,,11.2,
ANIK-F2,CAN,,-111.1,01.04.2005,C,,11.2,
ANIK-F2,CAN,,-111.1,15.01.2007,C,,11.2,
ANIK-F2R,CAN,,-111.1,15.03.2017,C,,11.2,
ANIK-F3R,CAN,,-118.7,15.03.2017,C,,11.2,
AOBO,CHN,,N-GSO,28.02.2018,C,,11.2,
AOS,J,,N-GSO,27.01.2024,N,27.01.2024,11.2,
APSTAR-142E,CHN,,142,24.09.2004,C,,11.2,
APSTAR-142E-R,CHN,,142,07.04.2015,C,,11.2,
APSTAR-2,CHN,,134,01.05.2002,C,,11.2,
APSTAR-2,CHN,,134,09.05.2002,C,,11.2,
APSTAR-4,CHN,,76.5,01.12.1997,C,,11.2,
APSTAR-5-KU,CHN,,138,01.08.2006,C,,11.2,
APSTAR-76E,CHN,,76.5,07.11.2008,C,,11.2,
APSTAR-76E-R,CHN,,76.5,07.04.2015,C,,11.2,
APSTAR-92E,CHN,,92.2,03.07.2008,C,,11.2,
ARABSAT 1-B,ARS,ARB,26,18.06.1985,C,,11.2,
ARABSAT 1-B,ARS,ARB,26,10.08.2011,C,,11.2,
ARABSAT 2-A,ARS,ARB,30.5,15.09.1996,C,,11.2,
ARABSAT 2-A,ARS,ARB,30.5,15.01.1997,C,,11.2,
ARABSAT 2-A,ARS,ARB,30.5,01.01.2011,C,,11.2,
ARABSAT 2-B,ARS,ARB,26,15.09.1996,C,,11.2,
ARABSAT 2-C,ARS,ARB,20,12.12.2003,C,,11.2,
ARABSAT 5A-30.5E,ARS,ARB,30.5,01.01.2011,C,,11.2,
ARABSAT 5B-26E,ARS,ARB,26,01.01.2011,C,,11.2,
ARABSAT 5C-20E,ARS,ARB,20,06.07.2010,C,,11.2,
ARABSAT 6E-34.5E,ARS,ARB,34.5,01.07.2010,C,,11.2,
ARABSAT 7A-30.5E,ARS,ARB,30.5,20.10.2015,C,,11.2,
ARABSAT 7B-26E,ARS,ARB,26,22.11.2015,C,,11.2,
ARABSAT 7C-20E,ARS,ARB,20,20.10.2015,C,,11.2,
ARABSAT 8A-30.5E,ARS,ARB,30.5,05.05.2019,C,,11.2,
ARABSAT 8G-11E,ARS,ARB,11,30.08.2018,C,,11.2,
ARABSAT BSS-26E,ARS,ARB,26,26.06.2016,C,,5.1.6,
ARABSAT-AX26E_C,ARS,ARB,26,22.11.2015,C,,A30B#8.1,
ARABSAT-AX26E_KU,ARS,ARB,26,22.11.2015,C,,A30B#8.1,
ARABSAT-AXB26E_C,ARS,ARB,26,01.01.2011,C,,A30B#8.1,
ARABSAT-AXB30.5E,ARS,ARB,30.5,05.05.2019,C,,A30B#8.1,
ARABSAT-AXB30E,ARS,ARB,30.9,06.10.2012,C,,A30B#8.1,
ARABSAT-BSS1,ARS,ARB,26,01.07.2006,C,,5.1.2,
ARABSAT-BSS1,ARS,ARB,26,01.07.2006,C,,5.1.6,
ARABSAT-BSS1A,ARS,ARB,26,22.03.2006,C,,5.1.6,
ARABSAT-BSS1A,ARS,ARB,26,22.03.2006,C,,5.1.2,
ARABSAT-BSS1B,ARS,ARB,26,22.03.2006,C,,5.1.2,
ARABSAT-BSS1B,ARS,ARB,26,22.03.2006,C,,5.1.6,
ARABSAT-EXT-C2,ARS,ARB,26,15.08.2008,C,,11.2,
ARABSAT-KA-26E,ARS,ARB,26,16.09.2006,C,,11.2,
ARABSAT-KA-30.5E,ARS,ARB,30.5,16.09.2005,C,,11.2,
ARABSAT-KU-26E,ARS,ARB,26,20.02.2005,C,,11.2,
ARABSAT-VB26E,ARS,ARB,26,01.01.2011,C,,5.1.6,
ARABSAT-VB26E,ARS,ARB,26,01.01.2011,C,,5.1.2,
ARABSAT-VB30.5E,ARS,ARB,30.5,05.05.2019,C,,5.1.2,
ARABSAT-VB30.5E,ARS,ARB,30.5,05.05.2019,C,,5.1.6,
ARCTICA-M,RUS,,N-GSO,19.03.2021,C,,11.2,
ARE-2,NOR,,N-GSO,01.09.2013,C,,11.2,
ARE-3,NOR,,N-GSO,12.07.2010,C,,11.2,
ARGOMOON,I,,N-GSO,03.08.2025,N,03.08.2025,11.2,
ARGOS-4A,F,,N-GSO,17.06.2020,C,,11.2,
ARGOS-B,F,,N-GSO,28.01.2003,C,,11.2,
ARGOS-SARAL,F,,N-GSO,26.02.2013,C,,11.2,
ARSAT-D,ARG,,-81,29.09.2018,C,,11.2,
ARSAT-M,ARG,,-81,01.12.2021,C,,11.2,
ARTHUR,BEL,,N-GSO,21.03.2026,N,21.03.2026,11.2,
ASIABSS,AUS,,105,14.09.2001,C,,11.2,
ASIASAT-1,CHN,,105.5,07.04.1990,C,,11.2,
ASIASAT-1,CHN,,105.5,21.05.1990,C,,11.2,
ASIASAT-1,CHN,,105.5,30.09.1990,C,,11.2,
ASIASAT-1,CHN,,105.5,08.05.1999,C,,11.2,
ASIASAT-120V,CHN,,120,15.09.2014,C,,11.2,
ASIASAT-122T,CHN,,122,20.04.2021,C,,11.2,
ASIASAT-30B-120,CHN,,120,16.04.2019,C,,A30B#8.1,
ASIASAT-30B-122,CHN,,122,16.04.2019,C,,A30B#8.1,
ASIASAT-A,CHN,,122,01.01.1998,C,,11.2,
ASIASAT-AAA,CHN,,122,09.10.2017,C,,11.2,
ASIASAT-ABS,CHN,,122,27.04.2003,C,,5.1.2,
ASIASAT-AK,CHN,,122,01.01.1998,C,,11.2,
ASIASAT-AK1,CHN,,122,31.10.2000,C,,11.2,
ASIASAT-AK1,CHN,,122,16.12.2000,C,,11.2,
ASIASAT-AKS,CHN,,122,27.04.2003,C,,11.2,
ASIASAT-AKX,CHN,,122,01.04.2001,C,,11.2,
ASIASAT-AKZ,CHN,,122.2,01.12.2005,C,,11.2,
ASIASAT-AKZ,CHN,,122.2,01.12.2010,C,,11.2,
ASIASAT-CK,CHN,,105.5,08.05.1999,C,,11.2,
ASIASAT-CK1,CHN,,105.5,08.05.1999,C,,11.2,
ASIASAT-CKS,CHN,,105.5,01.04.1999,C,,11.2,
ASIASAT-CKW,CHN,,105.5,18.05.2016,C,,11.2,
ASIASAT-CKX,CHN,,105.5,01.04.1999,C,,11.2,
ASIASAT-CKZ,CHN,,105.5,24.04.2012,C,,11.2,
ASIASAT-DTH-A,CHN,,122,27.04.2003,C,,5.1.2,
ASIASAT-DTH-A1,CHN,,122.2,28.05.2012,C,,5.1.2,
ASIASAT-E,CHN,,100.5,01.02.1996,C,,11.2,
ASIASAT-E,CHN,,100.5,01.02.1999,C,,11.2,
ASIASAT-EK1,CHN,,100.5,01.02.1996,C,,11.2,
ASIASAT-EKS,CHN,,100.5,01.02.1996,C,,11.2,
ASIASAT-EKX,CHN,,100.5,01.02.1996,C,,11.2,
ASIASAT-EKZ,CHN,,100.5,01.12.2005,C,,11.2,
ASIASAT-EKZ,CHN,,100.5,01.12.2010,C,,11.2,
ASIASAT-EKZ,CHN,,100.5,20.12.2011,C,,11.2,
ASIASAT-EKZ,CHN,,100.5,28.12.2011,C,,11.2,
ASNARO,J,,N-GSO,06.11.2014,C,,11.2,
ASNARO-2,J,,N-GSO,18.01.2018,C,,11.2,
AST-NG-C-3,F,,N-GSO,03.12.2021,C,,11.2,
AST-NG-NC-CL1,F,,N-GSO,16.05.2024,N,16.05.2024,11.2,
AST-NG-NC-CL2,F,,N-GSO,16.05.2024,N,16.05.2024,11.2,
AST-NG-NC-QV,F,,N-GSO,25.04.2023,N,10.08.2023,11.2,
AST-NG-NC-QV,F,,N-GSO,25.04.2023,N,30.04.2023,11.2,
AST-NG-NC-QV,F,,N-GSO,25.04.2023,N,10.08.2023,11.2,
AST-NG-NC-QV,F,,N-GSO,25.04.2023,N,30.04.2023,11.2,
ASTRO-E,J,,N-GSO,10.07.2005,C,,11.2,
ASTRO-H,J,,N-GSO,17.02.2016,C,,11.2,
ASTROSAT,IND,,N-GSO,28.09.2015,C,,11.2,
ASTROTERRA,F,,N-GSO,14.12.2012,C,,11.2,
ASV,F,,N-GSO,03.12.2015,C,,11.2,
ATHENA-FIDUS-38E,F,,38,22.10.2014,C,,11.2,
ATHENOXAT,SNG,,N-GSO,16.12.2015,C,,11.2,
AURA,USA,,N-GSO,15.07.2004,C,,11.2,
AURORASAT-1,FIN,,N-GSO,29.04.2027,N,29.04.2027,11.2,
AUS-NBN-3,AUS,,140,24.11.2015,C,,11.2,
AUS-NBN-4,AUS,,145,22.11.2016,C,,11.2,
AUSSAT B 152E,AUS,,152,10.08.2003,C,,11.2,
AUSSAT B 152E,AUS,,152,01.08.2009,C,,11.2,
AUSSAT B 152E,AUS,,152,01.07.2010,C,,11.2,
AUSSAT B 156E S,AUS,,156,01.06.1995,C,,11.2,
AUSSAT B 160E,AUS,,160,01.11.1992,C,,11.2,
AUSSAT B 160E,AUS,,160,01.01.2000,C,,11.2,
AUSSAT B 160E,AUS,,160,01.12.2006,C,,11.2,
AUSSAT B 160E NZ,AUS,,160,01.11.1992,C,,11.2,
AUSSAT B 160E NZ,AUS,,160,01.01.2000,C,,11.2,
AUSSAT B 160E NZ,AUS,,160,01.12.2006,C,,11.2,
AUSSAT B 160E S,AUS,,160,01.11.1992,C,,11.2,
AUSSAT C 156E BSS,AUS,,156,01.09.2009,C,,5.1.2,
AUSSAT C 156E BSS,AUS,,156,01.09.2009,C,,5.1.6,
AUSSAT C 156E FSS,AUS,,156,01.01.2002,C,,11.2,
AUSSAT C 156E FSS,AUS,,156,16.07.2003,C,,11.2,
AUSSAT C 156E FSS,AUS,,156,04.01.2015,C,,11.2,
AUSSAT C 156E GOV,AUS,,156,01.02.2002,C,,11.2,
AUSSAT C 156E GOVR,AUS,,156,19.09.2012,C,,11.2,
AUSSAT D 156E FSS,AUS,,156,01.02.2007,C,,11.2,
AUSSAT D 160E FSS,AUS,,160,01.02.2007,C,,11.2,
AUSSAT D 160E FSS,AUS,,160,04.01.2015,C,,11.2,
AUSSAT F 156E,AUS,,156,11.09.2020,C,,11.2,
AUTSAT,IRN,,N-GSO,08.10.2023,N,08.10.2023,11.2,
AXAF-1,USA,,N-GSO,23.07.1999,C,,11.2,
AZERSAT-46E,AZE,,46,08.02.2013,N,08.12.2027,11.2,
AZERSKY,AZE,,N-GSO,02.11.2015,C,,11.2,
AZERSKY,AZE,,N-GSO,01.06.2016,C,,11.2,
BALKANSAT AP30B,BUL,,56.02,15.12.2023,N,,A30B#8.1,
BC-MPO,F,ESA,N-GSO,20.10.2018,C,,11.2,
BEESAT,D,,N-GSO,20.05.2019,C,,11.2,
BEESAT-4,D,,N-GSO,30.07.2016,C,,11.2,
BEESAT-X,D,,N-GSO,22.03.2021,C,,11.2,
BERMUDASAT-1,G,,-96.2,13.04.2013,C,,5.1.2/5.1.6,
BEYOND-ATLAS-1,S,,N-GSO,14.03.2026,N,14.03.2026,11.2,
BF-1-ABC,CHN,,N-GSO,05.06.2019,C,,11.2,
BIFROST 2 FSS,NOR,,-0.8,01.03.2000,C,,A30B#8.1,
BIFROST-0.8W-2010,NOR,,-0.8,02.07.2015,C,,11.2,
BIFROST-0.8W-2010-KA,NOR,,-0.8,01.07.2015,C,,11.2,
BIFROST-10,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-10,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-11,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-11,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-12,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-12,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-13,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-13,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-16,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-16,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-17,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-17,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-18,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-18,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-19,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-19,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-3-FSS,NOR,,-0.8,01.01.2003,C,,A30B#8.1,
BIFROST-5-FSS,NOR,,-0.8,01.12.2009,C,,A30B#8.1,
BIFROST-6,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-6,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-7,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-7,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-8,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIFROST-8,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-9,NOR,,-0.8,20.05.2005,C,,5.1.2,
BIFROST-9,NOR,,-0.8,20.05.2005,C,,5.1.6,
BIOMASS,F,ESA,N-GSO,24.07.2027,N,24.07.2027,11.2,
BIOSENTINEL,USA,,N-GSO,29.04.2026,N,29.04.2026,11.2,
BIROS AMATEUR,D,,N-GSO,22.06.2016,C,,11.2,
BIUSAT,S,,N-GSO,20.01.2021,C,,11.2,
BKA,BLR,,N-GSO,22.07.2012,C,,11.2,
BLMIT-1,CHN,,N-GSO,20.09.2005,C,,11.2,
BLOCK 5D-3,USA,,N-GSO,15.01.1996,C,,11.2,
BLOCK 5D-3,USA,,N-GSO,12.12.1999,C,,11.2,
BLR-FSS2-51.5E,BLR,,51.5,27.05.2016,C,,A30B#8.1,
BLR-FSS-51.5E,BLR,,51.5,27.05.2016,C,,A30B#8.1,
BLUE1,PNG,,-95,06.09.2017,C,,11.2,
BOLSAT BSS,BOL,,-87.2,29.03.2014,C,,5.1.2/5.1.6,
BRIO,USA,,N-GSO,03.12.2018,C,,11.2,
BRITE,AUT,,N-GSO,25.02.2013,C,,11.2,
BRITE-CANADA,CAN,,N-GSO,19.06.2014,C,,11.2,
BRITE-PL,POL,,N-GSO,01.12.2013,C,,11.2,
BRONET,F,,N-GSO,13.09.2019,C,,11.2,
B-SAT I,B,,-63,10.08.2000,C,,11.2,
B-SAT P,B,,-84,08.04.1998,C,,11.2,
B-SAT P,B,,-84,27.02.2003,C,,11.2,
B-SAT P,B,,-84,27.04.2003,C,,11.2,
BSAT-109.85,J,,109.85,01.08.2000,C,,11.2,
BSAT-109.85,J,,109.85,05.02.2016,C,,11.2,
BSAT-110,J,,110,01.08.2000,C,,11.2,
BSAT-110,J,,110,05.02.2016,C,,11.2,
B-SAT-1C,B,,-70,18.04.2008,C,,11.2,
B-SAT-1I-1,B,,-63,11.08.2018,C,,11.2,
B-SAT-1J,B,,-68,09.08.2008,C,,11.2,
B-SAT-1N-1,B,,-84,01.01.2017,C,,11.2,
B-SAT-1Q,B,,-61,10.04.2013,C,,11.2,
B-SAT-1R,B,,-65,20.12.2007,C,,11.2,
B-SAT-1R-1,B,,-65,29.04.2016,C,,11.2,
B-SAT-1S,B,,-75,01.07.2013,C,,11.2,
B-SAT-1S-1,B,,-75,11.06.2017,C,,11.2,
B-SAT-1W,B,,-48,31.05.2013,C,,11.2,
B-SAT-1W-2,B,,-47.5,04.09.2018,C,,11.2,
B-SAT-1Z,B,,-20,30.04.2018,C,,11.2,
BSAT-2,J,,110,01.12.2000,C,,5.1.6,
BSAT-2,J,,110,01.12.2000,C,,5.1.2,
B-SAT-2J,B,,-68,30.06.2016,C,,11.2,
B-SAT-2N,B,,-84,01.06.2014,C,,11.2,
B-SAT-2N,B,,-84,01.01.2017,C,,11.2,
BSAT-2N,J,,109.85,01.12.2000,C,,5.1.2,
BSAT-2N,J,,109.85,01.12.2000,C,,5.1.6,
B-SAT-2N-1,B,,-84,01.01.2017,N,16.06.2022,11.2,
B-SAT-3A-2,B,,-44.9,25.04.2017,C,,5.1.2/5.1.6,
B-SAT-3A-2 TT&C,B,,-44.9,30.03.2017,C,,11.2,
B-SAT-3C,B,,-70,04.07.2018,C,,5.1.2/5.1.6,
B-SAT-3I,B,,-63,24.07.2018,C,,A30B#8.1,
B-SAT-3Q,B,,-61,21.09.2014,C,,5.1.2/5.1.6,
B-SAT-3Q TTC,B,,-61,21.09.2014,C,,11.2,
B-SAT-3Q-1,B,,-61,01.11.2017,C,,5.1.2/5.1.6,
B-SAT-3R,B,,-65,29.09.2016,C,,A30B#8.1,
B-SAT-3R-1,B,,-65,29.04.2016,C,,A30B#8.1,
B-SAT-Q,B,,-61,01.04.2003,C,,11.2,
B-SAT-R,B,,-65,24.11.2006,C,,11.2,
B-SAT-S,B,,-75,22.03.2007,C,,11.2,
BSSNET4-95W,HOL,,-95.15,21.08.2019,C,,11.2,
BULSAT-1.9E,BUL,,1.9,13.06.2018,C,,11.2,
BULSAT-30B-1.9E,BUL,,1.9,01.01.2022,C,,A30B#8.1,
BULSAT-BSS-1.2W-W,BUL,,1.9,01.12.2017,C,,5.1.6,
BULSAT-BSS-1.2W-W,BUL,,1.9,01.12.2017,C,,11.2,
BULSAT-BSS-1.2W-W,BUL,,1.9,01.12.2017,C,,5.1.2,
BV-SAT-128E,RUS,,128,10.08.2020,C,,11.2,
BV-SAT-12E,RUS,,12,15.09.2022,C,,11.2,
BV-SAT-45E,RUS,,45,29.12.2020,C,,11.2,
BV-SAT-70E,RUS,,70,20.07.2022,C,,11.2,
CALIPSO,USA,,N-GSO,28.04.2006,C,,11.2,
CAN-BSS1,CAN,,-82,15.06.2003,C,,5.1.2/5.1.6,
CAN-BSS1 TTAC,CAN,,-82,15.06.2003,C,,11.2,
CAN-BSS19,CAN,,-103,24.09.2012,C,,11.2,
CAN-BSS1X,CAN,,-82,12.09.2013,C,,5.1.2/5.1.6,
CAN-BSS2,CAN,,-91.1,15.06.2003,C,,5.1.2/5.1.6,
CAN-BSS2 TTAC,CAN,,-91.1,15.06.2003,C,,11.2,
CAN-BSS2X,CAN,,-91.1,15.09.2013,C,,5.1.2/5.1.6,
CAN-BSS3,CAN,,-72.7,14.12.2004,C,,5.1.2/5.1.6,
CAN-BSS3 TTAC,CAN,,-72.7,10.10.2009,C,,11.2,
CAN-BSS31,CAN,,-91,22.05.2014,C,,11.2,
CAN-BSS36,CAN,,-107.3,16.04.2014,C,,11.2,
CAN-BSS4,CAN,,-129,25.08.2005,C,,5.1.2/5.1.6,
CAN-BSS6,CAN,,-72.7,10.10.2009,C,,5.1.2/5.1.6,
CAN-BSS7,CAN,,-129,28.01.2009,C,,5.1.2/5.1.6,
CAN-BSS7 TTC,CAN,,-129,16.01.2013,C,,11.2,
CAN-BSS9,CAN,,-86.5,27.10.2011,C,,11.2,
CANPOL-2,CAN,,N-GSO,22.10.2019,C,,11.2,
CANSAT KA-4,CAN,,-111.1,01.04.2005,C,,11.2,
CANSAT KA-5,CAN,,-118.7,30.08.2004,C,,11.2,
CANSAT KA-5X,CAN,,-118.7,30.08.2004,C,,11.2,
CANSAT(107.3W)-L,CAN,,-107.3,10.10.2015,C,,11.2,
CANSAT(107.3W)-XKA,CAN,,-107.3,28.06.2015,C,,11.2,
CANSAT-17,CAN,,-114.9,28.07.2006,C,,11.2,
CANSAT-18,CAN,,-118.7,01.05.2007,C,,11.2,
CANSAT-24,CAN,,-111.1,19.07.2009,C,,11.2,
CANSAT-24X-30B,CAN,,-111.1,14.11.2012,C,,A30B#8.1,
CANSAT-31,CAN,,-82,11.10.2008,C,,11.2,
CANSAT-34,CAN,,-107.3,15.06.2012,C,,11.2,
CANSAT-50,CAN,,-107.3,15.04.2014,C,,11.2,
CANSAT-64,CAN,,-109.2,15.03.2017,C,,11.2,
CANSAT-67,CAN,,-107.3,15.06.2019,C,,11.2,
CANSAT-68,CAN,,-109.2,06.03.2022,C,,11.2,
CANSAT-LEO-S,CAN,,N-GSO,29.06.2023,N,29.06.2023,11.2,
CANX-2,CAN,,N-GSO,28.04.2008,C,,11.2,
CANX-4-5,CAN,,N-GSO,30.06.2014,C,,11.2,
CANYVAL-C,KOR,,N-GSO,31.10.2019,C,,11.2,
CAPSTONE,USA,,N-GSO,28.06.2022,C,,11.2,
CARBONITE-2,G,,N-GSO,12.06.2018,C,,11.2,
CARTOSAT-2S,IND,,N-GSO,15.02.2017,C,,11.2,
CARTOSAT-3,IND,,N-GSO,27.11.2019,C,,11.2,
CAS500-1,KOR,,N-GSO,27.02.2024,N,27.02.2024,11.2,
CAS500-2,KOR,,N-GSO,30.01.2026,N,30.01.2026,11.2,
CASAA-SAT,F,,N-GSO,20.01.2027,N,20.01.2027,11.2,
CASSIOPE-1A,CAN,,N-GSO,29.09.2013,C,,11.2,
CBERS-02C,CHN,,N-GSO,26.12.2011,C,,11.2,
CBERS-04A,CHN,,N-GSO,20.12.2019,C,,11.2,
CBERS-1,CHN,,N-GSO,01.08.1998,C,,11.2,
CBERS-1,CHN,,N-GSO,01.09.1998,C,,11.2,
CBERS-1,CHN,,N-GSO,01.08.1999,C,,11.2,
CBERS-2,CHN,,N-GSO,26.12.2011,C,,11.2,
CBERS-3,CHN,,N-GSO,26.12.2011,C,,11.2,
CD-SAT 123.1W,F,,-123.1,20.01.2019,C,,11.2,
CE-1,CHN,,N-GSO,07.11.2007,C,,11.2,
CELESTA,F,,N-GSO,01.07.2018,C,,11.2,
CELESTA,F,,N-GSO,18.04.2025,N,18.04.2025,11.2,
CERES,F,,N-GSO,16.11.2021,C,,11.2,
CERES-1,HNG,,-4,04.01.2004,C,,A30B#8.1,
CERES-1,HNG,,-4,20.12.2009,C,,A30B#8.1,
CE-SAT,J,,N-GSO,23.06.2017,C,,11.2,
CE-SAT-B,J,,N-GSO,29.10.2020,C,,11.2,
CE-SAT-B,J,,N-GSO,29.10.2020,C,,11.2,
CFOSAT-1,CHN,,N-GSO,29.10.2018,C,,11.2,
CHANDRAYAAN-1,IND,,N-GSO,22.10.2008,C,,11.2,
CHEOPS,F,ESA,N-GSO,18.12.2019,C,,11.2,
CHINASAT-1,CHN,,87.5,15.03.1988,C,,11.2,
CHINASAT-115.5E,CHN,,115.5,25.07.2008,C,,11.2,
CHINASAT-134E,CHN,,134,25.05.2005,C,,11.2,
CHINASAT-138E,CHN,,138,18.08.2004,C,,11.2,
CHINASAT-163E,CHN,,163,01.11.2010,C,,11.2,
CHINASAT-2,CHN,,110.5,30.12.1988,C,,11.2,
CHINASAT-22,CHN,,98,01.08.1997,C,,11.2,
CHINASAT-3,CHN,,98,15.03.1989,C,,11.2,
CHINASAT-30B-115.5E,CHN,,115.5,31.12.2023,N,31.12.2023,A30B#8.1,
CHINASAT-30B-126E,CHN,,126,29.05.2019,C,,A30B#8.1,
